Orf	Name	130min	170min	Overnight
YJL033W	HCA4	-0.163786539	-0.027867441	-1.380334113
YGL203C	KEX1	NA	-0.407476893	-0.162493648
YDL048C	STP4	-0.113957485	-0.543292144	0.481546661
YDR296W	MHR1	-0.131730553	-0.600397824	-0.423692554
YGR010W	NMA2	-0.455496433	-0.35067407	-0.203267859
YML031W	NDC1	NA	1.590229378	-0.556517971
YDR443C	SSN2	0.24966681	0.506633953	1.640228634
YJR059W	PTK2	-0.119452142	0.71707303	-0.085217285
YOR128C	ADE2	-1.17758185	0.120540505	-0.122561625
YCR028C-A	RIM1	-0.679930681	0.061367131	0.630755793
YGL054C	ERV14	-0.204047198	-0.676142439	NA
YDR159W	SAC3	0.69901522	0.574019152	0.345536787
YFR033C	QCR6	-0.107028196	0.273389879	0.013983601
